NAME      READY   STATUS              RESTARTS   AGE
mysql-0   0/1     ContainerCreating   0          0s
mysql-0   0/1     ContainerCreating   0          0s
mysql-0   1/1     Running             0          0s
mysql-1   0/1     Pending             0          0s
mysql-1   0/1     Pending             0          0s
mysql-1   0/1     Pending             0          4s
mysql-1   0/1     ContainerCreating   0          4s
mysql-1   0/1     ContainerCreating   0          5s
mysql-1   1/1     Running             0          5s
mysql-2   0/1     Pending             0          0s
mysql-2   0/1     Pending             0          0s
mysql-2   0/1     Pending             0          4s
mysql-2   0/1     ContainerCreating   0          4s
mysql-2   0/1     ContainerCreating   0          4s
mysql-2   1/1     Running             0          4s
