NAME                READY   STATUS    RESTARTS   AGE
lifecycle-running   0/1     Pending   0          0s
lifecycle-running   0/1     Pending   0          0s
lifecycle-running   0/1     ContainerCreating   0          0s
lifecycle-running   0/1     ContainerCreating   0          1s
lifecycle-running   1/1     Running             0          1s
lifecycle-pending   0/1     Pending             0          0s
lifecycle-pending   0/1     Pending             0          0s
lifecycle-pending   0/1     ContainerCreating   0          0s
lifecycle-pending   0/1     ContainerCreating   0          0s
lifecycle-pending   1/1     Running             0          0s
lifecycle-pending-900gi   0/1     Pending             0          0s
lifecycle-pending-900gi   0/1     Pending             0          0s
lifecycle-succeeded       0/1     Pending             0          0s
lifecycle-succeeded       0/1     Pending             0          0s
lifecycle-succeeded       0/1     ContainerCreating   0          0s
lifecycle-succeeded       0/1     ContainerCreating   0          1s
lifecycle-succeeded       1/1     Running             0          1s
lifecycle-succeeded       0/1     Completed           0          7s
lifecycle-succeeded       0/1     Completed           0          8s
lifecycle-failed          0/1     Pending             0          0s
lifecycle-failed          0/1     Pending             0          0s
lifecycle-failed          0/1     ContainerCreating   0          0s
lifecycle-failed          0/1     ContainerCreating   0          1s
lifecycle-failed          1/1     Running             0          1s
lifecycle-failed          0/1     Error               0          6s
lifecycle-failed          0/1     Error               0          7s
lifecycle-crashloop       0/1     Pending             0          0s
lifecycle-crashloop       0/1     Pending             0          0s
lifecycle-crashloop       0/1     ContainerCreating   0          0s
lifecycle-crashloop       0/1     ContainerCreating   0          0s
lifecycle-crashloop       1/1     Running             0          1s
lifecycle-crashloop       0/1     Error               0          4s
lifecycle-crashloop       1/1     Running             1 (0s ago)   4s
lifecycle-crashloop       0/1     Error               1 (4s ago)   8s
lifecycle-crashloop       0/1     CrashLoopBackOff    1 (12s ago)   19s
lifecycle-crashloop       1/1     Running             2 (12s ago)   19s
lifecycle-crashloop       0/1     Error               2 (15s ago)   22s
lifecycle-pending         1/1     Running             0             64s
lifecycle-crashloop       0/1     CrashLoopBackOff    2 (27s ago)   49s
lifecycle-crashloop       1/1     Running             3 (27s ago)   49s
lifecycle-crashloop       0/1     Error               3 (30s ago)   52s
lifecycle-image-error     0/1     Pending             0             0s
lifecycle-image-error     0/1     Pending             0             0s
lifecycle-image-error     0/1     ContainerCreating   0             0s
lifecycle-image-error     0/1     ContainerCreating   0             0s
lifecycle-image-error     0/1     ErrImagePull        0             8s
lifecycle-image-error     0/1     ImagePullBackOff    0             23s
lifecycle-crashloop       0/1     CrashLoopBackOff    3 (57s ago)   109s
