NAME                           READY   STATUS    RESTARTS   AGE
app-rolling-86d7d44d5b-49lbh   1/1     Running   0          8s
app-rolling-86d7d44d5b-5qw2v   1/1     Running   0          8s
app-rolling-86d7d44d5b-89pcq   1/1     Running   0          8s
app-rolling-86d7d44d5b-pbj2r   1/1     Running   0          8s
app-rolling-56bff6d88c-kd2k6   0/1     Pending   0          0s
app-rolling-56bff6d88c-kd2k6   0/1     Pending   0          0s
app-rolling-56bff6d88c-kd2k6   0/1     ContainerCreating   0          0s
app-rolling-56bff6d88c-kd2k6   0/1     ContainerCreating   0          1s
app-rolling-56bff6d88c-kd2k6   0/1     Running             0          1s
app-rolling-56bff6d88c-kd2k6   1/1     Running             0          6s
app-rolling-56bff6d88c-kd2k6   1/1     Running             0          6s
app-rolling-86d7d44d5b-5qw2v   1/1     Terminating         0          15s
app-rolling-86d7d44d5b-5qw2v   1/1     Terminating         0          15s
app-rolling-56bff6d88c-jm8wf   0/1     Pending             0          0s
app-rolling-56bff6d88c-jm8wf   0/1     Pending             0          0s
app-rolling-56bff6d88c-jm8wf   0/1     ContainerCreating   0          0s
app-rolling-86d7d44d5b-5qw2v   0/1     Completed           0          16s
app-rolling-56bff6d88c-jm8wf   0/1     ContainerCreating   0          1s
app-rolling-56bff6d88c-jm8wf   0/1     Running             0          1s
app-rolling-86d7d44d5b-5qw2v   0/1     Completed           0          16s
app-rolling-86d7d44d5b-5qw2v   0/1     Completed           0          16s
app-rolling-56bff6d88c-jm8wf   1/1     Running             0          6s
app-rolling-86d7d44d5b-pbj2r   1/1     Terminating         0          21s
app-rolling-86d7d44d5b-pbj2r   1/1     Terminating         0          21s
app-rolling-56bff6d88c-2tdkk   0/1     Pending             0          0s
app-rolling-56bff6d88c-2tdkk   0/1     Pending             0          0s
app-rolling-56bff6d88c-2tdkk   0/1     ContainerCreating   0          0s
app-rolling-86d7d44d5b-pbj2r   0/1     Completed           0          21s
app-rolling-56bff6d88c-2tdkk   0/1     ContainerCreating   0          1s
app-rolling-56bff6d88c-2tdkk   0/1     Running             0          1s
app-rolling-86d7d44d5b-pbj2r   0/1     Completed           0          22s
app-rolling-86d7d44d5b-pbj2r   0/1     Completed           0          22s
app-rolling-86d7d44d5b-pbj2r   0/1     Completed           0          22s
app-rolling-56bff6d88c-2tdkk   1/1     Running             0          6s
app-rolling-56bff6d88c-2tdkk   1/1     Running             0          6s
app-rolling-86d7d44d5b-89pcq   1/1     Terminating         0          27s
app-rolling-56bff6d88c-tb8wk   0/1     Pending             0          0s
app-rolling-86d7d44d5b-89pcq   1/1     Terminating         0          27s
app-rolling-56bff6d88c-tb8wk   0/1     Pending             0          0s
app-rolling-56bff6d88c-tb8wk   0/1     ContainerCreating   0          0s
app-rolling-86d7d44d5b-89pcq   0/1     Completed           0          28s
app-rolling-56bff6d88c-tb8wk   0/1     ContainerCreating   0          1s
app-rolling-86d7d44d5b-89pcq   0/1     Completed           0          28s
app-rolling-86d7d44d5b-89pcq   0/1     Completed           0          28s
app-rolling-56bff6d88c-tb8wk   0/1     Running             0          1s
app-rolling-56bff6d88c-tb8wk   1/1     Running             0          7s
app-rolling-56bff6d88c-tb8wk   1/1     Running             0          7s
app-rolling-86d7d44d5b-49lbh   1/1     Terminating         0          34s
app-rolling-86d7d44d5b-49lbh   1/1     Terminating         0          34s
app-rolling-86d7d44d5b-49lbh   0/1     Completed           0          34s
app-rolling-86d7d44d5b-49lbh   0/1     Completed           0          35s
app-rolling-86d7d44d5b-49lbh   0/1     Completed           0          35s
