NAME                            READY   STATUS    RESTARTS   AGE
app-recreate-6c78cb55bb-94sg5   1/1     Running   0          86s
app-recreate-6c78cb55bb-j28jm   1/1     Running   0          86s
app-recreate-6c78cb55bb-v4psz   1/1     Running   0          86s
app-recreate-6c78cb55bb-v4psz   1/1     Terminating   0          87s
app-recreate-6c78cb55bb-j28jm   1/1     Terminating   0          87s
app-recreate-6c78cb55bb-94sg5   1/1     Terminating   0          87s
app-recreate-6c78cb55bb-94sg5   1/1     Terminating   0          87s
app-recreate-6c78cb55bb-v4psz   1/1     Terminating   0          87s
app-recreate-6c78cb55bb-j28jm   1/1     Terminating   0          87s
app-recreate-6c78cb55bb-v4psz   0/1     Completed     0          87s
app-recreate-6c78cb55bb-j28jm   0/1     Completed     0          87s
app-recreate-6c78cb55bb-j28jm   0/1     Completed     0          87s
app-recreate-6c78cb55bb-j28jm   0/1     Completed     0          87s
app-recreate-6c78cb55bb-v4psz   0/1     Completed     0          87s
app-recreate-6c78cb55bb-v4psz   0/1     Completed     0          87s
app-recreate-6c78cb55bb-94sg5   0/1     Completed     0          105s
app-recreate-7bd8d89b8b-scrz2   0/1     Pending       0          0s
app-recreate-7bd8d89b8b-7cpzh   0/1     Pending       0          0s
app-recreate-7bd8d89b8b-dwklp   0/1     Pending       0          0s
app-recreate-7bd8d89b8b-scrz2   0/1     Pending       0          0s
app-recreate-7bd8d89b8b-7cpzh   0/1     Pending       0          0s
app-recreate-7bd8d89b8b-dwklp   0/1     Pending       0          0s
app-recreate-7bd8d89b8b-scrz2   0/1     ContainerCreating   0          0s
app-recreate-7bd8d89b8b-7cpzh   0/1     ContainerCreating   0          0s
app-recreate-7bd8d89b8b-dwklp   0/1     ContainerCreating   0          0s
app-recreate-7bd8d89b8b-dwklp   0/1     ContainerCreating   0          1s
app-recreate-7bd8d89b8b-7cpzh   0/1     ContainerCreating   0          1s
app-recreate-7bd8d89b8b-scrz2   0/1     ContainerCreating   0          1s
app-recreate-7bd8d89b8b-dwklp   1/1     Running             0          1s
app-recreate-7bd8d89b8b-scrz2   1/1     Running             0          1s
app-recreate-7bd8d89b8b-7cpzh   1/1     Running             0          1s
app-recreate-6c78cb55bb-94sg5   0/1     Completed           0          106s
app-recreate-6c78cb55bb-94sg5   0/1     Completed           0          106s
app-recreate-6c78cb55bb-94sg5   0/1     Completed           0          106s
