    PID TTY          TIME CMD
   4025 ?        00:00:00 systemd
   4035 ?        00:00:00 (sd-pam)
   4058 ?        00:00:00 dbus-daemon
   4059 ?        00:00:26 pipewire
   4063 ?        00:00:00 gnome-keyring-d
   4078 ?        00:00:00 mpris-proxy
   4079 ?        00:00:00 wireplumber
   4080 ?        00:00:00 pipewire
   4082 ?        00:00:35 pipewire-pulse
   4172 ?        00:00:00 xdg-document-po
   4188 ?        00:00:00 xdg-permission-
   4393 ?        00:00:00 gcr-ssh-agent
   4395 ?        00:00:00 gnome-session-c
   4397 ?        00:00:00 ssh-agent
   4413 ?        00:00:00 gvfsd
   4420 ?        00:00:00 gvfsd-fuse
   4422 ?        00:00:00 gnome-session-s
   4436 ?        00:07:35 gnome-shell
   4498 ?        00:00:00 at-spi-bus-laun
   4506 ?        00:00:00 dbus-daemon
   4508 ?        00:00:00 at-spi2-registr
   4528 ?        00:00:00 gnome-shell-cal
   4536 ?        00:00:00 evolution-sourc
   4547 ?        00:00:00 gjs
   4556 ?        00:00:04 ibus-daemon
   4567 ?        00:00:00 gsd-a11y-settin
   4568 ?        00:00:00 gsd-color
   4574 ?        00:00:00 gsd-datetime
   4575 ?        00:00:00 gsd-housekeepin
   4577 ?        00:00:00 gsd-keyboard
   4579 ?        00:00:00 gsd-media-keys
   4583 ?        00:00:00 gsd-power
   4588 ?        00:00:00 gsd-print-notif
   4591 ?        00:00:00 gsd-rfkill
   4597 ?        00:00:00 gsd-screensaver
   4613 ?        00:00:00 gsd-sharing
   4615 ?        00:00:00 gsd-smartcard
   4628 ?        00:00:00 gsd-sound
   4630 ?        00:00:00 gsd-usb-protect
   4631 ?        00:00:00 update-notifier
   4636 ?        00:00:00 evolution-alarm
   4639 ?        00:00:00 gsd-wwan
   4662 ?        00:00:00 gsd-disk-utilit
   4701 ?        00:00:00 ibus-memconf
   4703 ?        00:00:02 ibus-extension-
   4713 ?        00:00:00 ibus-portal
   4771 ?        00:00:00 gjs
   4786 ?        00:00:00 goa-daemon
   4805 ?        00:01:38 localsearch-3
   4809 ?        00:00:01 warp-taskbar
   4813 ?        00:00:00 gsd-printer
   4831 ?        00:00:00 goa-identity-se
   4837 ?        00:00:00 evolution-calen
   4843 ?        00:00:00 Xwayland
   4868 ?        00:00:00 gvfs-udisks2-vo
   4876 ?        00:00:00 evolution-addre
   4885 ?        00:00:00 gvfs-mtp-volume
   4897 ?        00:00:00 gvfs-afc-volume
   4907 ?        00:00:00 gvfs-goa-volume
   4912 ?        00:00:00 gvfs-gphoto2-vo
   4919 ?        00:00:01 ibus-engine-sim
   4967 ?        00:00:00 gvfsd-metadata
   5123 ?        00:00:00 dconf-service
   5219 ?        00:00:00 gvfsd-trash
   5251 ?        00:00:00 xdg-desktop-por
   5305 ?        00:00:00 xdg-desktop-por
   5497 ?        00:00:01 gjs
   5513 ?        00:00:00 gsd-xsettings
   5541 ?        00:00:00 ibus-x11
   5560 ?        00:00:00 mutter-x11-fram
   5615 ?        00:00:00 xdg-desktop-por
   5627 ?        00:00:00 crashpad_handle
   5786 ?        00:00:00 user-session-he
   5861 ?        00:00:00 snapd-desktop-i
   5958 ?        00:06:42 chrome
   5964 ?        00:00:00 cat
   5965 ?        00:00:00 cat
   5970 ?        00:00:00 chrome_crashpad
   5972 ?        00:00:00 chrome_crashpad
   5978 ?        00:00:00 chrome
   5979 ?        00:00:00 chrome
   5981 ?        00:00:00 chrome
   6005 ?        00:12:54 chrome
   6009 ?        00:00:53 chrome
   6021 ?        00:00:01 chrome
   6041 ?        00:00:00 chrome
   6052 ?        00:00:20 code
   6109 ?        00:00:00 code
   6110 ?        00:00:00 code
   6119 ?        00:00:00 code
   6185 ?        00:00:00 chrome_crashpad
   6229 ?        00:01:02 code
   6234 ?        00:00:01 code
   6259 ?        00:00:20 code
   6270 ?        00:00:00 code
   6366 ?        00:00:02 code
   6411 ?        00:01:30 code
   6417 ?        00:00:07 code
   6598 ?        00:00:01 chrome
   6748 ?        00:00:00 dconf
   6776 ?        00:00:01 code
   8371 ?        00:00:00 gvfsd-network
   8385 ?        00:00:00 gvfsd-dnssd
   8391 ?        00:00:00 gvfsd-wsdd
   8396 ?        00:00:00 python3
   8825 ?        00:00:08 weed
   9528 ?        00:02:25 chrome
  10147 ?        00:00:01 chrome
  10280 ?        00:01:01 chrome
  11235 ?        00:00:00 chrome
  11468 ?        00:04:55 chrome
  11527 ?        00:00:00 chrome
  11582 ?        00:00:02 chrome
  13339 ?        00:03:21 chrome
  14633 ?        00:00:13 code
  14797 ?        00:00:00 gvfsd-recent
  14860 ?        00:00:06 code
  14885 ?        00:00:01 code
  15011 ?        00:00:00 code
  15034 ?        00:00:36 claude
  15178 ?        00:00:00 npm exec @model
  15190 ?        00:00:00 npm exec @playw
  15202 ?        00:00:00 npm exec @upsta
  15214 ?        00:00:00 sh
  15215 ?        00:00:00 MainThread
  15216 ?        00:00:00 sh
  15217 ?        00:00:00 MainThread
  15244 ?        00:00:00 sh
  15245 ?        00:00:00 MainThread
  59779 ?        00:00:07 code
  59805 ?        00:00:01 code
  59930 ?        00:00:00 code
  60063 ?        00:00:33 claude
  60240 ?        00:00:01 npm exec @model
  60252 ?        00:00:01 npm exec @playw
  60263 ?        00:00:01 npm exec @upsta
  60301 ?        00:00:00 sh
  60302 ?        00:00:00 MainThread
  60310 ?        00:00:00 sh
  60311 ?        00:00:00 MainThread
  60312 ?        00:00:00 sh
  60313 ?        00:00:00 MainThread
  61805 ?        00:00:36 chrome
  62541 ?        00:00:00 code
  62607 ?        00:00:01 code
  62608 ?        00:00:02 code
  62623 ?        00:00:00 code
  62970 ?        00:00:12 chrome
  63356 ?        00:00:01 chrome
  64503 ?        00:00:11 code
  64661 ?        00:00:00 code
  64676 ?        00:00:04 code
  64727 ?        00:00:00 code
  64854 ?        00:00:08 claude
  64968 ?        00:00:00 npm exec @model
  64981 ?        00:00:00 npm exec @upsta
  64992 ?        00:00:00 npm exec @playw
  65005 ?        00:00:00 sh
  65006 ?        00:00:00 MainThread
  65016 ?        00:00:00 sh
  65017 ?        00:00:00 MainThread
  65023 ?        00:00:00 sh
  65024 ?        00:00:00 MainThread
  66379 ?        00:00:31 chrome
  66412 ?        00:01:01 chrome
  67053 ?        00:00:00 MainThread
  67138 ?        00:00:01 chrome
  67142 ?        00:00:00 cat
  67143 ?        00:00:00 cat
  67145 ?        00:00:00 chrome_crashpad
  67147 ?        00:00:00 chrome_crashpad
